path,label
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/0.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/1.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/2.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/3.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/4.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/5.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/6.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/7.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/8.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/9.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/10.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/11.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/12.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/13.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/14.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/15.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/16.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/17.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/18.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/19.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/20.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/21.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/22.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/23.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/24.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/25.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/26.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/27.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/28.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/29.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/30.wav,0
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/31.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/fake/32.wav,1
/kaggle/input/in-the-wild-audio-deepfake/release_in_the_wild/real/33.wav,0
